eventID,sampleID,measurementID,measurementType,measurementValue,measurementUnit,Unnamed: 6
MPO-OPANO-BOTTOMTRAWL-1987-09-06T14:50Z,MPO-OPANO-BOTTOMTRAWL-1987-13193,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00060,total weight,19.34210526,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-06T20:00Z,MPO-OPANO-BOTTOMTRAWL-1987-13225,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00062,total weight,110,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-06T23:09Z,MPO-OPANO-BOTTOMTRAWL-1987-13235,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00064,total weight,25.15625,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-07T01:36Z,MPO-OPANO-BOTTOMTRAWL-1987-13250,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00066,total weight,16.52777778,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-07T13:21Z,MPO-OPANO-BOTTOMTRAWL-1987-13290,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00068,total weight,6.447368421,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-07T15:43Z,MPO-OPANO-BOTTOMTRAWL-1987-13305,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00070,total weight,6.176470588,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-07T23:49Z,MPO-OPANO-BOTTOMTRAWL-1987-13362,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00072,total weight,7.368421053,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-08T02:40Z,MPO-OPANO-BOTTOMTRAWL-1987-13375,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00074,total weight,5.526315789,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-08T05:30Z,MPO-OPANO-BOTTOMTRAWL-1987-13392,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00076,total weight,25.73529412,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-08T12:13Z,MPO-OPANO-BOTTOMTRAWL-1987-13440,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00078,total weight,3.888888889,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-08T14:29Z,MPO-OPANO-BOTTOMTRAWL-1987-13454,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00080,total weight,1.944444444,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-09T03:40Z,MPO-OPANO-BOTTOMTRAWL-1987-13505,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00082,total weight,3.888888889,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-09T12:14Z,MPO-OPANO-BOTTOMTRAWL-1987-13543,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00084,total weight,6.805555556,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-09T14:23Z,MPO-OPANO-BOTTOMTRAWL-1987-13557,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00086,total weight,14.58333333,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-09T17:08Z,MPO-OPANO-BOTTOMTRAWL-1987-13570,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00088,total weight,10.69444444,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-10T04:20Z,MPO-OPANO-BOTTOMTRAWL-1987-13607,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00090,total weight,11.05263158,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-10T12:37Z,MPO-OPANO-BOTTOMTRAWL-1987-13632,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00092,total weight,4.605263158,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-10T21:22Z,MPO-OPANO-BOTTOMTRAWL-1987-13673,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00094,total weight,6.25,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-14T20:53Z,MPO-OPANO-BOTTOMTRAWL-1987-13686,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00096,total weight,4.375,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-15T05:33Z,MPO-OPANO-BOTTOMTRAWL-1987-13711,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00098,total weight,4.117647059,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-15T08:30Z,MPO-OPANO-BOTTOMTRAWL-1987-13723,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00100,total weight,3.75,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-15T11:28Z,MPO-OPANO-BOTTOMTRAWL-1987-13732,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00102,total weight,10.5,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-15T13:48Z,MPO-OPANO-BOTTOMTRAWL-1987-13745,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00104,total weight,7,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-15T15:00Z,MPO-OPANO-BOTTOMTRAWL-1987-13760,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00106,total weight,5.833333333,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-16T06:52Z,MPO-OPANO-BOTTOMTRAWL-1987-13814,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00108,total weight,1.029411765,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-16T14:00Z,MPO-OPANO-BOTTOMTRAWL-1987-13841,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00110,total weight,4.666666667,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-16T17:27Z,MPO-OPANO-BOTTOMTRAWL-1987-13854,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00112,total weight,3.75,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-16T21:10Z,MPO-OPANO-BOTTOMTRAWL-1987-13874,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00114,total weight,2.333333333,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-17T06:37Z,MPO-OPANO-BOTTOMTRAWL-1987-13920,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00116,total weight,3.28125,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-17T08:01Z,MPO-OPANO-BOTTOMTRAWL-1987-13929,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00118,total weight,4.666666667,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-17T09:58Z,MPO-OPANO-BOTTOMTRAWL-1987-13941,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00120,total weight,5.147058824,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-17T11:42Z,MPO-OPANO-BOTTOMTRAWL-1987-13957,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00122,total weight,3.5,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-17T20:58Z,MPO-OPANO-BOTTOMTRAWL-1987-14000,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00124,total weight,5.46875,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-19T06:58Z,MPO-OPANO-BOTTOMTRAWL-1987-14071,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00126,total weight,1.166666667,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-20T09:46Z,MPO-OPANO-BOTTOMTRAWL-1987-14156,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00128,total weight,4.666666667,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-21T18:34Z,MPO-OPANO-BOTTOMTRAWL-1987-14243,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00130,total weight,7.5,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-22T19:46Z,MPO-OPANO-BOTTOMTRAWL-1987-14269,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00132,total weight,12.5,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-23T03:55Z,MPO-OPANO-BOTTOMTRAWL-1987-14307,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00134,total weight,9.333333333,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-23T07:00Z,MPO-OPANO-BOTTOMTRAWL-1987-14320,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00136,total weight,5.833333333,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-23T17:48Z,MPO-OPANO-BOTTOMTRAWL-1987-14368,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00138,total weight,11.25,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-23T20:00Z,MPO-OPANO-BOTTOMTRAWL-1987-14379,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00140,total weight,10.83333333,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-23T21:33Z,MPO-OPANO-BOTTOMTRAWL-1987-14391,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00142,total weight,19.83333333,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-06T18:28Z,MPO-OPANO-BOTTOMTRAWL-1988-14426,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00144,total weight,1.166666667,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-06T23:42Z,MPO-OPANO-BOTTOMTRAWL-1988-14452,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00146,total weight,7.205882353,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-07T23:32Z,MPO-OPANO-BOTTOMTRAWL-1988-14564,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00148,total weight,11.66666667,kg,
MPO-OPANO-BOTTOMTRAWL-1988-09-08T07:05Z,MPO-OPANO-BOTTOMTRAWL-1988-14584,MPO-OPANO-BOTTOMTRAWL-1988-OTHER-00150,total weight,4.666666667,kg,
